sensor id  | sensor name      | value      | unit         | status | lnr        | lc         | lnc        | unc      | uc         | unr        | phys   | nhys  
0x54       | DIMM111          | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0x55       | DIMM120          | 0x0        | discrete     | 0x8040 | na         | na         | na         | na       | na         | na         | na     | na    
0x56       | DIMM121          | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0x57       | DIMM130          | 0x0        | discrete     | 0x8040 | na         | na         | na         | na       | na         | na         | na     | na    
0x58       | DIMM131          | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0x59       | DIMM140          | 0x0        | discrete     | 0x8040 | na         | na         | na         | na       | na         | na         | na     | na    
0x5a       | DIMM141          | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0x5b       | DIMM150          | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0x5c       | DIMM151          | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0x5d       | DIMM160          | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0x5e       | DIMM161          | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0x5f       | DIMM170          | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0x60       | DIMM171          | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0x61       | PCIE Status      | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0x62       | ACPI State       | 0x0        | discrete     | 0x8001 | na         | na         | na         | na       | na         | na         | na     | na    
0x63       | SysFWProgress    | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0x64       | Power Button     | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0x65       | SysRestart       | 0x0        | discrete     | 0x8080 | na         | na         | na         | na       | na         | na         | na     | na    
0x66       | Boot Error       | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0x67       | Watchdog2        | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0x68       | Mngmnt Health    | 0x0        | discrete     | 0x8001 | na         | na         | na         | na       | na         | na         | na     | na    
0x69       | UID Button       | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
