"id": "1","label": "power"#"id": "2","label": "power_aver"#"id": "3","label": "power_peak"#
2025/07/18 08:54:59#570#571#648
2025/07/18 09:05:01#576#574#642
2025/07/18 09:15:03#552#577#648
2025/07/18 09:25:03#576#575#642
2025/07/18 09:35:04#588#575#654
2025/07/18 09:45:04#588#575#654
2025/07/18 09:55:06#582#575#654
2025/07/18 10:05:08#564#577#648
2025/07/18 10:15:08#576#578#648
2025/07/18 10:25:10#558#578#654
2025/07/18 10:35:12#552#577#642
2025/07/18 10:45:14#594#578#642
2025/07/18 10:55:16#570#576#648
2025/07/18 11:05:18#564#578#648
2025/07/18 11:15:18#588#576#654
2025/07/18 11:25:19#618#576#642
2025/07/18 11:35:19#552#575#648
2025/07/18 11:45:21#570#578#648
2025/07/18 11:55:23#588#574#648
2025/07/18 12:05:23#576#575#648
2025/07/18 12:15:23#654#575#654
2025/07/18 12:25:24#570#576#654
2025/07/18 12:35:26#564#573#642
2025/07/18 12:45:28#576#571#636
2025/07/18 12:55:28#576#572#642
2025/07/18 13:05:30#576#571#642
2025/07/18 13:15:30#558#569#642
2025/07/18 13:25:31#564#570#648
2025/07/18 13:35:31#576#568#642
2025/07/18 13:45:33#570#569#636
2025/07/18 13:55:35#546#568#636
2025/07/18 14:05:35#546#566#636
2025/07/18 14:15:36#558#566#642
2025/07/18 14:25:36#552#563#642
2025/07/18 14:35:38#564#561#648
2025/07/18 14:45:40#570#563#642
2025/07/18 14:55:42#618#561#636
2025/07/18 15:05:42#558#561#642
2025/07/18 15:15:44#552#561#636
2025/07/18 15:25:46#570#560#630
2025/07/18 15:35:48#552#561#642
2025/07/18 15:45:50#558#560#630
2025/07/18 15:55:52#576#559#648
2025/07/18 16:05:52#564#566#636
2025/07/18 16:15:53#636#563#642
2025/07/18 16:25:53#570#563#636
2025/07/18 16:35:55#546#563#642
2025/07/18 16:45:57#552#562#642
2025/07/18 16:55:58#552#561#648
2025/07/18 17:06:00#570#563#636
2025/07/18 17:16:01#558#563#642
2025/07/18 17:26:03#540#561#636
2025/07/18 17:36:05#636#560#636
2025/07/18 17:46:07#546#560#636
2025/07/18 17:56:07#558#560#642
2025/07/18 18:06:08#564#558#630
2025/07/18 18:16:08#552#557#630
2025/07/18 18:26:10#558#557#636
2025/07/18 18:36:12#552#557#624
2025/07/18 18:46:12#546#558#630
2025/07/18 18:56:12#618#558#630
2025/07/18 19:06:13#558#556#630
2025/07/18 19:16:13#558#557#636
2025/07/18 19:26:15#552#557#636
2025/07/18 19:36:17#558#558#630
2025/07/18 19:46:19#552#557#630
2025/07/18 19:56:19#558#557#630
2025/07/18 20:06:20#540#557#630
2025/07/18 20:16:20#612#555#624
2025/07/18 20:26:22#546#554#630
2025/07/18 20:36:22#540#554#624
2025/07/18 20:46:22#564#553#642
2025/07/18 20:56:24#558#556#630
2025/07/18 21:06:25#564#557#636
2025/07/18 21:16:25#540#557#630
2025/07/18 21:26:27#546#558#630
2025/07/18 21:36:29#552#558#636
2025/07/18 21:46:29#558#558#630
2025/07/18 21:56:29#540#559#636
2025/07/18 22:06:30#558#563#648
2025/07/18 22:16:32#564#565#636
2025/07/18 22:26:32#558#565#630
2025/07/18 22:36:34#564#564#648
2025/07/18 22:46:34#558#567#636
2025/07/18 22:56:35#564#568#648
2025/07/18 23:06:35#570#567#636
2025/07/18 23:16:37#564#569#630
2025/07/18 23:26:39#576#568#636
2025/07/18 23:36:39#558#572#642
2025/07/18 23:46:39#570#571#648
2025/07/18 23:56:40#564#568#636
2025/07/19 00:06:40#558#569#642
2025/07/19 00:16:42#576#568#636
2025/07/19 00:26:44#552#568#636
2025/07/19 00:36:44#552#569#642
2025/07/19 00:46:46#570#568#642
2025/07/19 00:56:47#552#569#636
2025/07/19 01:06:47#624#568#642
2025/07/19 01:16:49#564#566#642
2025/07/19 01:26:51#570#568#636
2025/07/19 01:36:51#558#565#636
2025/07/19 01:46:52#582#567#630
2025/07/19 01:56:52#582#566#642
2025/07/19 02:06:54#558#564#642
2025/07/19 02:16:56#552#564#630
2025/07/19 02:26:58#624#563#636
2025/07/19 02:36:58#546#564#630
2025/07/19 02:46:59#552#563#642
2025/07/19 02:56:59#570#564#636
2025/07/19 03:07:01#570#566#648
2025/07/19 03:17:03#564#578#648
2025/07/19 03:27:03#552#577#648
2025/07/19 03:37:03#564#579#654
2025/07/19 03:47:04#630#576#648
2025/07/19 03:57:06#564#576#648
2025/07/19 04:07:06#570#577#642
2025/07/19 04:17:08#576#573#654
2025/07/19 04:27:08#570#577#648
2025/07/19 04:37:08#582#575#648
2025/07/19 04:47:09#570#573#642
2025/07/19 04:57:11#576#574#660
2025/07/19 05:07:13#642#574#642
2025/07/19 05:17:13#570#572#642
2025/07/19 05:27:13#564#575#648
2025/07/19 05:37:14#570#572#636
2025/07/19 05:47:16#564#573#648
2025/07/19 05:57:16#552#573#642
2025/07/19 06:07:18#570#572#648
2025/07/19 06:17:18#564#573#648
2025/07/19 06:27:20#576#572#648
2025/07/19 06:37:21#546#571#648
2025/07/19 06:47:21#570#573#654
2025/07/19 06:57:23#570#572#642
2025/07/19 07:07:25#576#575#654
2025/07/19 07:17:25#564#574#648
2025/07/19 07:27:25#570#572#654
2025/07/19 07:37:26#594#573#642
2025/07/19 07:47:28#576#573#648
2025/07/19 07:57:30#540#575#654
2025/07/19 08:07:31#570#574#648
2025/07/19 08:17:33#564#575#642
2025/07/19 08:27:34#570#573#636
2025/07/19 08:37:34#642#573#654
2025/07/19 08:47:36#564#574#648
2025/07/19 08:57:38#552#575#642
2025/07/19 09:07:38#570#574#648
2025/07/19 09:17:38#576#577#642
2025/07/19 09:27:39#582#576#654
2025/07/19 09:37:41#570#577#648
2025/07/19 09:47:43#570#577#648
2025/07/19 09:57:45#582#576#648
2025/07/19 10:07:45#564#577#654
2025/07/19 10:17:45#582#578#654
2025/07/19 10:27:46#576#578#636
2025/07/19 10:37:48#582#580#648
2025/07/19 10:47:50#642#577#648
2025/07/19 10:57:52#594#579#648
2025/07/19 11:07:53#600#580#648
2025/07/19 11:17:55#582#578#654
2025/07/19 11:27:55#570#579#648
2025/07/19 11:37:55#570#576#648
2025/07/19 11:47:57#570#577#648
2025/07/19 11:57:57#576#578#648
2025/07/19 12:07:57#588#577#648
2025/07/19 12:17:58#582#577#648
2025/07/19 12:27:58#582#576#648
2025/07/19 12:38:00#564#574#648
2025/07/19 12:48:02#570#575#654
2025/07/19 12:58:02#552#575#648
2025/07/19 13:08:02#558#573#642
2025/07/19 13:18:03#576#571#648
2025/07/19 13:28:05#582#571#648
2025/07/19 13:38:07#570#571#660
2025/07/19 13:48:09#552#571#648
2025/07/19 13:58:09#564#570#642
2025/07/19 14:08:09#570#570#648
2025/07/19 14:18:10#564#568#642
2025/07/19 14:28:12#564#565#642
2025/07/19 14:38:14#546#565#642
2025/07/19 14:48:15#552#563#642
2025/07/19 14:58:17#552#563#642
2025/07/19 15:08:19#630#564#648
